name;calories;protein;fat;sodium;fiber;carbo;sugars;potass;vitamins;weight;cups;
100% Bran;70;4;1;130;10;5;6;280;25;1;0.33;
100% Natural Bran;120;3;5;15;2;8;8;135;0;1;1;
All-Bran;70;4;1;260;9;7;5;320;25;1;0.33;
All-Bran with Extra Fiber;50;4;0;140;14;8;0;330;25;1;0.5;
Almond Delight;110;2;2;200;1;14;8;-1;25;1;0.75;
Apple Cinnamon Cheerios;110;2;2;180;1.5;10.5;10;70;25;1;0.75;
Apple Jacks;110;2;0;125;1;11;14;30;25;1;1;
Basic 4;130;3;2;210;2;18;8;100;25;1.33;0.75;
Bran Chex;90;2;1;200;4;15;6;125;25;1;0.67;
Bran Flakes;90;3;0;210;5;13;5;190;25;1;0.67;
Cap'n'Crunch;120;1;2;220;0;12;12;35;25;1;0.75;
Cheerios;110;6;2;290;2;17;1;105;25;1;1.25;
Cinnamon Toast Crunch;120;1;3;210;0;13;9;45;25;1;0.75;
Clusters;110;3;2;140;2;13;7;105;25;1;0.5;
Cocoa Puffs;110;1;1;180;0;12;13;55;25;1;1;
Corn Chex;110;2;0;280;0;22;3;25;25;1;1;
Corn Flakes;100;2;0;290;1;21;2;35;25;1;1;
Corn Pops;110;1;0;90;1;13;12;20;25;1;1;
Count Chocula;110;1;1;180;0;12;13;65;25;1;1;
Cracklin' Oat Bran;110;3;3;140;4;10;7;160;25;1;0.5;
Cream of Wheat (Quick);100;3;0;80;1;21;0;-1;0;1;1;
Crispix;110;2;0;220;1;21;3;30;25;1;1;
Crispy Wheat & Raisins;100;2;1;140;2;11;10;120;25;1;0.75;
Double Chex;100;2;0;190;1;18;5;80;25;1;0.75;
Froot Loops;110;2;1;125;1;11;13;30;25;1;1;
Frosted Flakes;110;1;0;200;1;14;11;25;25;1;0.75;
Frosted Mini-Wheats;100;3;0;0;3;14;7;100;25;1;0.8;
Fruit & Fibre Dates;;;;;;;;;;;;
Fruitful Bran;120;3;0;240;5;14;12;190;25;1.33;0.67;
Fruity Pebbles;110;1;1;135;0;13;12;25;25;1;0.75;
Golden Crisp;100;2;0;45;0;11;15;40;25;1;0.88;
Golden Grahams;110;1;1;280;0;15;9;45;25;1;0.75;
Grape Nuts Flakes;100;3;1;140;3;15;5;85;25;1;0.88;
Grape-Nuts;110;3;0;170;3;17;3;90;25;1;0.25;
Great Grains Pecan;120;3;3;75;3;13;4;100;25;1;0.33;
Honey Graham Ohs;120;1;2;220;1;12;11;45;25;1;1;
Honey Nut Cheerios;110;3;1;250;1.5;11.5;10;90;25;1;0.75;
Honey-comb;110;1;0;180;0;14;11;35;25;1;1.33;
Just Right Crunchy  Nuggets;110;2;1;170;1;17;6;60;100;1;1;
Just Right Fruit & Nut;140;3;1;170;2;20;9;95;100;1.3;0.75;
Kix;110;2;1;260;0;21;3;40;25;1;1.5;
Life;100;4;2;150;2;12;6;95;25;1;0.67;
Lucky Charms;110;2;1;180;0;12;12;55;25;1;1;
Maypo;100;4;1;0;0;16;3;95;25;1;1;
Muesli Raisins;;;;;;;;;;;;
Muesli Raisins;;;;;;;;;;;;
Mueslix Crispy Blend;160;3;2;150;3;17;13;160;25;1.5;0.67;
Multi-Grain Cheerios;100;2;1;220;2;15;6;90;25;1;1;
Nut&Honey Crunch;120;2;1;190;0;15;9;40;25;1;0.67;
Nutri-Grain Almond-Raisin;140;3;2;220;3;21;7;130;25;1.33;0.67;
Nutri-grain Wheat;90;3;0;170;3;18;2;90;25;1;1;
Oatmeal Raisin Crisp;130;3;2;170;1.5;13.5;10;120;25;1.25;0.5;
Post Nat. Raisin Bran;120;3;1;200;6;11;14;260;25;1.33;0.67;
Product 19;100;3;0;320;1;20;3;45;100;1;1;
Puffed Rice;50;1;0;0;0;13;0;15;0;0.5;1;
Puffed Wheat;50;2;0;0;1;10;0;50;0;0.5;1;
Quaker Oat Squares;100;4;1;135;2;14;6;110;25;1;0.5;
Quaker Oatmeal;100;5;2;0;2.7;-1;-1;110;0;1;0.67;
Raisin Bran;120;3;1;210;5;14;12;240;25;1.33;0.75;
Raisin Nut Bran;100;3;2;140;2.5;10.5;8;140;25;1;0.5;
Raisin Squares;90;2;0;0;2;15;6;110;25;1;0.5;
Rice Chex;110;1;0;240;0;23;2;30;25;1;1.13;
Rice Krispies;110;2;0;290;0;22;3;35;25;1;1;
Shredded Wheat;80;2;0;0;3;16;0;95;0;0.83;1;
Shredded Wheat 'n'Bran;90;3;0;0;4;19;0;140;0;1;0.67;
Shredded Wheat spoon size;90;3;0;0;3;20;0;120;0;1;0.67;
Smacks;110;2;1;70;1;9;15;40;25;1;0.75;
Special K;110;6;0;230;1;16;3;55;25;1;1;
Strawberry Fruit Wheats;90;2;0;15;3;15;5;90;25;1;1;
Total Corn Flakes;110;2;1;200;0;21;3;35;100;1;1;
Total Raisin Bran;140;3;1;190;4;15;14;230;100;1.5;1;
Total Whole Grain;100;3;1;200;3;16;3;110;100;1;1;
Triples;110;2;1;250;0;21;3;60;25;1;0.75;
Trix;110;1;1;140;0;13;12;25;25;1;1;
Wheat Chex;100;3;1;230;3;17;3;115;25;1;0.67;
Wheaties;100;3;1;200;3;17;3;110;25;1;1;
Wheaties Honey Gold;110;2;1;200;1;16;8;60;25;1;0.75;
